iter	Passed	Remaining
0	2	264
1	4	228
2	6	212
3	8	192
4	9	188
5	11	186
6	13	184
7	16	185
8	18	184
9	20	182
10	22	180
11	24	179
12	26	177
13	28	177
14	31	175
15	33	174
16	35	172
17	37	171
18	39	169
19	42	168
20	44	166
21	46	164
22	48	162
23	50	160
24	52	158
25	55	156
26	57	156
27	60	155
28	63	155
29	66	154
30	68	153
31	71	151
32	74	150
33	76	149
34	79	147
35	82	146
36	85	145
37	88	144
38	91	142
39	94	141
40	96	139
41	102	140
42	104	138
43	106	135
44	108	132
45	110	129
46	114	128
47	116	125
48	118	123
49	120	120
50	122	117
51	124	114
52	128	113
53	130	110
54	131	107
55	133	104
56	135	102
57	137	99
58	139	96
59	142	94
60	146	93
61	151	92
62	155	91
63	159	89
64	163	87
65	165	85
66	167	82
67	170	80
68	174	78
69	177	75
70	180	73
71	183	71
72	186	68
73	188	66
74	191	63
75	194	61
76	198	59
77	200	56
78	202	53
79	204	51
80	206	48
81	208	45
82	211	43
83	213	40
84	216	38
85	219	35
86	222	33
87	225	30
88	227	28
89	229	25
90	231	22
91	233	20
92	235	17
93	237	15
94	239	12
95	241	10
96	243	7
97	246	5
98	248	2
99	250	0
