iter	Passed	Remaining
0	412	412107
1	427	213378
2	623	207249
3	1023	254830
4	1056	210189
5	1068	177035
6	1081	153449
7	1096	136012
8	1115	122811
9	1125	111457
10	1136	102177
11	1152	94911
12	1206	91623
13	1217	85719
14	1499	98439
15	1527	93946
16	1577	91196
17	1626	88723
18	1643	84839
19	1661	81414
20	1669	77822
21	1680	74704
22	1684	71571
23	1778	72307
24	1792	69924
25	1797	67345
26	1810	65238
27	1822	63283
28	1827	61194
29	1842	59586
30	1856	58018
31	1860	56281
32	1873	54892
33	1879	53402
34	1949	53740
35	1953	52312
36	1967	51209
37	1979	50117
38	1984	48904
39	2099	50381
40	2115	49470
41	2129	48571
42	2145	47743
43	2309	50169
44	2320	49237
45	2371	49183
46	2390	48475
47	2410	47815
48	2516	48843
49	2541	48296
50	2555	47551
51	2561	46696
52	2574	45997
53	2587	45320
54	2675	45974
55	2688	45319
56	2705	44765
57	2738	44469
58	2752	43894
59	2851	44666
60	2939	45246
61	2992	45276
62	3017	44884
63	3098	45308
64	3179	45729
65	3191	45158
66	3196	44515
67	3209	43988
68	3290	44397
69	3295	43777
70	3307	43273
71	3311	42682
72	3323	42203
73	3327	41641
74	3549	43775
75	3579	43523
76	3584	42962
77	3597	42529
78	3603	42005
79	3809	43807
80	3818	43324
81	3824	42813
82	3826	42273
83	3837	41846
84	3853	41478
85	4020	42728
86	4033	42328
87	4043	41904
88	4049	41448
89	4062	41071
90	4083	40790
91	4102	40488
92	4146	40440
93	4151	40017
94	4163	39658
95	4167	39246
96	4299	40029
97	4328	39843
98	4334	39451
99	4349	39143
100	4363	38843
101	4479	39441
102	4493	39129
103	4497	38750
104	4510	38443
105	4522	38138
106	4526	37778
107	4624	38197
108	4629	37845
109	4634	37495
110	4646	37210
111	4712	37364
112	4717	37030
113	4829	37535
114	4848	37315
115	4866	37089
116	4873	36777
117	5025	37560
118	5029	37238
119	5040	36961
120	5044	36644
121	5055	36384
122	5070	36152
123	5236	36992
124	5242	36699
125	5254	36445
126	5257	36140
127	5285	36006
128	5322	35934
129	5335	35704
130	5350	35495
131	5366	35285
132	5380	35077
133	5395	34872
134	5595	35852
135	5608	35631
136	5622	35415
137	5626	35144
138	5640	34941
139	5653	34728
140	5808	35386
141	5821	35173
142	5837	34986
143	5855	34804
144	5873	34635
145	5963	34884
146	5976	34681
147	6042	34787
148	6048	34542
149	6058	34330
150	6191	34810
151	6201	34598
152	6207	34362
153	6220	34171
154	6225	33936
155	6236	33743
156	6353	34114
157	6358	33884
158	6370	33694
159	6380	33496
160	6384	33268
161	6388	33046
162	6489	33322
163	6500	33138
164	6514	32966
165	6519	32753
166	6532	32583
167	6544	32413
168	6866	33763
169	6879	33588
170	6893	33419
171	6899	33212
